OpenDP Privacy Attacks & Auditing Working Group,,,,,,,,,,,
Privacy Attacks Respository,,,,,,,,,,,
,,,,,,,,,,,
URL,BibTex (Please add a bibtex entry for this paper to facilitate writing our summary document),Authors,Title,Short Description,Type of Data,Type of Release,Threat Model,Research Type,Links to Artifacts,Comments,"Submitter (your name, affiliation)"
https://arxiv.org/abs/2003.14053,"@article{geiping2020inverting,
  title={Inverting gradients-how easy is it to break privacy in federated learning?},
  author={Geiping, Jonas and Bauermeister, Hartmut and Dr{\""o}ge, Hannah and Moeller, Michael},
  journal={Advances in neural information processing systems},
  volume={33},
  pages={16937--16947},
  year={2020}
}",Geiping et al.,Inverting Gradients -- How easy is it to break privacy in federated learning?,Gradient inversion attack (reconstruct data point from gradient) - application to federated learning,Image,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Aurélien Bellet, Inria"
https://archive.dimacs.rutgers.edu/~graham/pubs/papers/empiricalpriv.pdf,"@inproceedings{cormode2013empirical,
  title={Empirical privacy and empirical utility of anonymized data},
  author={Cormode, Graham and Procopiuc, Cecilia M and Shen, Entong and Srivastava, Divesh and Yu, Ting},
  booktitle={2013 IEEE 29th International Conference on Data Engineering Workshops (ICDEW)},
  pages={77--82},
  year={2013},
  organization={IEEE}
}","Cormode, G., Procopiuc, C.M., Shen, E., Srivastava, D. and Yu, T",Empirical privacy and empirical utility of anonymized data.,Naive Bayes attacks against simple workloads of statistics,Tabular,Linear-Queries,Reconstruction,Empirical,,,"James Honaker, Anonym"
https://projects.iq.harvard.edu/files/privacytools/files/pdf_02.pdf,"@article{dwork2017exposed,
  title={Exposed! a survey of attacks on private data},
  author={Dwork, Cynthia and Smith, Adam and Steinke, Thomas and Ullman, Jonathan},
  journal={Annual Review of Statistics and Its Application},
  volume={4},
  number={1},
  pages={61--84},
  year={2017},
  publisher={Annual Reviews}
}","Dwork, C., Smith, A., Steinke, T. and Ullman, J.",Exposed! a survey of attacks on private data.,Survey of privacy attacks,Tabular,,,Theoretical,,,"James Honaker, Anonym"
https://proceedings.neurips.cc/paper_files/paper/2023/file/9a6f6e0d6781d1cb8689192408946d73-Paper-Conference.pdf,"@article{steinke2024privacy,
  title={Privacy auditing with one (1) training run},
  author={Steinke, Thomas and Nasr, Milad and Jagielski, Matthew},
  journal={Advances in Neural Information Processing Systems},
  volume={36},
  year={2024}
}","Steinke, T., Nasr, M. and Jagielski, M.",Privacy Auditing with One (1) Training Run.,,,,Membership-Inference,Empirical,,,"James Honaker, Anonym"
https://arxiv.org/pdf/1610.05820.pdf,"@inproceedings{shokri2017membership,
  title={Membership inference attacks against machine learning models},
  author={Shokri, Reza and Stronati, Marco and Song, Congzheng and Shmatikov, Vitaly},
  booktitle={2017 IEEE symposium on security and privacy (SP)},
  pages={3--18},
  year={2017},
  organization={IEEE}
}","Shokri, R., Stronati, M., Song, C. and Shmatikov","Shokri, R., Stronati, M., Song, C. and Shmatikov",The original membership inference based on shadow models,,,Membership-Inference,Empirical,,,"James Honaker, Anonym"
https://arxiv.org/abs/1512.00327,,"Wagner, I. and Eckhoff, D.",Technical privacy metrics: a systematic survey.,Survey of privacy-loss metrics,Tabular,Linear-Queries,Information Leakage,Theoretical,,,"James Honaker, Anonym"
https://petsymposium.org/popets/2023/popets-2023-0055.php,"@misc{giomi2022unifiedframeworkquantifyingprivacy,
      title={A Unified Framework for Quantifying Privacy Risk in Synthetic Data}, 
      author={Matteo Giomi and Franziska Boenisch and Christoph Wehmeyer and Borbála Tasnádi},
      year={2022},
      eprint={2211.10459},
      archivePrefix={arXiv},
      primaryClass={cs.CR},
      url={https://arxiv.org/abs/2211.10459}, 
}","Giomi, M., Boenisch, F., Wehmeyer, C., and Tasnádi, B.",A Unified Framework for Quantifying Privacy Risk in Synthetic Data,"Adversarial evaluation of singling out, linkability, and inference risk in tabular synthetic data",Tabular,,Attribute inference,Empirical,https://github.com/statice/anonymeter,,"Matteo Giomi, Anonos"
https://arxiv.org/abs/2211.10459,"@inproceedings{giomi2022unified,
  title={A unified framework for quantifying privacy risk in synthetic data},
  author={Giomi, Matteo and Boenisch, Franziska and Wehmeyer, Christoph and Tasn{\'a}di, Borb{\'a}la},
  booktitle={PETs},
  year={2023},
}","Matteo Giomi, Franziska Boenisch, Christoph Wehmeyer, Borbála Tasnádi",A Unified Framework for Quantifying Privacy Risk in Synthetic Data,"Present Anonymeter, a statistical framework to jointly quantify different types of privacy risks in synthetic tabular datasets. Equips this framework with attack-based evaluations for the singling out, linkability, and inference risks, the three key indicators of factual anonymization according to the GDPR.",Tabular,Generative-Model,Membership-Inference,Empirical,,,"Georgi Ganev, UCL"
https://arxiv.org/abs/2310.16789,"@article{shi2023detecting,
  title={Detecting pretraining data from large language models},
  author={Shi, Weijia and Ajith, Anirudh and Xia, Mengzhou and Huang, Yangsibo and Liu, Daogao and Blevins, Terra and Chen, Danqi and Zettlemoyer, Luke},
  journal={arXiv preprint arXiv:2310.16789},
  year={2023}
}",Weijia Shi et al.,Detecting Pretraining Data from Large Language Models,introduces Min-K prob attack: Membership Inference atttack agaisnt LLMs using average of lowest k probable tokens in the target sequence.,Text,Generative-Model,Membership-Inference,Applications,https://swj0419.github.io/detect-pretrain.github.io/,,"Hamid Mozaffari, Oracle Labs"
https://arxiv.org/abs/2402.07841,"@misc{duan2024membership,
      title={Do Membership Inference Attacks Work on Large Language Models?}, 
      author={Michael Duan and Anshuman Suri and Niloofar Mireshghallah and Sewon Min and Weijia Shi and Luke Zettlemoyer and Yulia Tsvetkov and Yejin Choi and David Evans and Hannaneh Hajishirzi},
      year={2024},
      eprint={2402.07841},
      archivePrefix={arXiv},
      primaryClass={id='cs.CL' full_name='Computation and Language' is_active=True alt_name='cmp-lg' in_archive='cs' is_general=False description='Covers natural language processing. Roughly includes material in ACM Subject Class I.2.7. Note that work on artificial languages (programming languages, logics, formal systems) that does not explicitly address natural-language issues broadly construed (natural-language processing, computational linguistics, speech, text retrieval, etc.) is not appropriate for this area.'}
}","Michael Duan, Anshuman Suri, Niloofar Mireshghallah, Sewon Min, Weijia Shi, Luke Zettlemoyer, Yulia Tsvetkov, Yejin Choi, David Evans, Hannaneh Hajishirzi",Do Membership Inference Attacks Work on Large Language Models?,"Examining MIA attacks on LLM, proposing a github repo with set of standard attacks",Text,Generative-Model,Membership-Inference,Empirical,https://github.com/iamgroot42/mimir,,"Daniil Filienko, University of Washington"
https://arxiv.org/abs/2301.13188,"@article{carlini2023extracting,
  title={Extracting training data from diffusion models},
  author={Carlini, Nicholas and Hayes, Jamie and Nasr, Milad and Jagielski, Matthew and Sehwag, Vikash and Tram{\`e}r, Florian and Balle, Borja and Ippolito, Daphne and Wallace, Eric},
  journal={USENIX Security},
  year={2023}
}","Nicholas Carlini, Jamie Hayes, Milad Nasr, Matthew Jagielski, Vikash Sehwag, Florian Tramèr, Borja Balle, Daphne Ippolito, Eric Wallace",Extracting training data from diffusion models,"Show that diffusion models memorize individual images from their training data and emit them at generation time. With a generate-and-filter pipeline, extracts over a thousand training examples from state-of-the-art models, ranging from photographs of individual people to trademarked company logos.",Image,Generative-Model,Data-Extraction,Empirical,,,"Georgi Ganev, UCL"
https://arxiv.org/abs/2012.07805,"@inproceedings{carlini2021extracting,
  title={Extracting training data from large language models},
  author={Carlini, Nicholas and Tramer, Florian and Wallace, Eric and Jagielski, Matthew and Herbert-Voss, Ariel and Lee, Katherine and Roberts, Adam and Brown, Tom and Song, Dawn and Erlingsson, Ulfar and others},
  year={2021}
}","Nicolas Carlini, Florian Tramèr, Eric Wallace, Matthew Jagielski, Ariel Herbert-Voss, Katherine Lee, Adam Roberts, Tom Brown, Dawn Song, Úlfar Erlingsson, Alina Oprea, and Colin Raffel",Extracting training data from large language models.,Showed how to prompt models like GPT2 to reveal specific training examples,Text,Generative-Model,Data-Extraction,Applications,,,"Jon Ullman, Northeastern University"
https://arxiv.org/pdf/2211.06550.pdf,"@article{houssiau2022tapas,
  title={Tapas: a toolbox for adversarial privacy auditing of synthetic data},
  author={Houssiau, Florimond and Jordon, James and Cohen, Samuel N and Daniel, Owen and Elliott, Andrew and Geddes, James and Mole, Callum and Rangel-Smith, Camila and Szpruch, Lukasz},
  journal={arXiv preprint arXiv:2211.06550},
  year={2022}
}","Florimond Houssiau, James Jordon, Samuel N. Cohen, Owen Daniel, Andrew Elliott, James Geddes, Callum Mole, Camila Rangel-Smith, Lukasz Szpruch","Tapas: Toolbox for Adversarial Privacy Auditing of
Synthetic Data",A system of classification of MIA attacks presented as part of a toolbox of attacks to evaluate synthetic data privacy under a wide range of scenarios,Tabular,,,,,,"Daniil Filienko, University of Washington"
https://arxiv.org/abs/1909.03935,"@inproceedings{chen2020gan,
  title={Gan-leaks: a taxonomy of membership inference attacks against generative models},
  author={Chen, Dingfan and Yu, Ning and Zhang, Yang and Fritz, Mario},
  booktitle={ACM CCS},
  year={2020},
}","Dingfan Chen, Ning Yu, Yang Zhang, Mario Fritz",Gan-leaks: a taxonomy of membership inference attacks against generative models,"Presents a taxonomy of membership inference attacks, encompassing not only existing attacks but also our novel ones. Moreover, provides a theoretically grounded attack calibration technique, which consistently boosts the attack performance in all cases, across different attack settings, data modalities, and training configurations.",Image,Generative-Model,Membership-Inference,Empirical,,,"Georgi Ganev, UCL"
https://arxiv.org/abs/1705.07663,"@inproceedings{hayes2019logan,
  title={{LOGAN}: membership inference attacks against generative models},
  author={Hayes, Jamie and Melis, Luca and Danezis, George and De Cristofaro, Emiliano},
  booktitle={PoPETs},
  year={2019},
}","Jamie Hayes, Luca Melis, George Danezis, Emiliano De Cristofaro",LOGAN: Membership Inference Attacks Against Generative Models,"Presents the first membership inference attacks against generative models (GANs): given a data point, the adversary determines whether or not it was used to train the model.",Image,Generative-Model,Membership-Inference,Empirical,,,"Georgi Ganev, UCL"
https://arxiv.org/pdf/2112.05307.pdf,"@inproceedings{jin2022we,
  title={Are we there yet? timing and floating-point attacks on differential privacy systems},
  author={Jin, Jiankai and McMurtry, Eleanor and Rubinstein, Benjamin IP and Ohrimenko, Olga},
  booktitle={2022 IEEE Symposium on Security and Privacy (SP)},
  pages={473--488},
  year={2022},
  organization={IEEE}
}","Jin, McMurtry, Rubinstein, Ohrimenko",Are We There Yet? Timing and Floating-Point Attacks on Differential Privacy Systems ,Attacks on DP implementations that use floating-point arithmetic; timing side channels on discrete samplers,,,Reconstruction,Applications,,,"Zachary Ratliff, Harvard + OpenDP"
https://arxiv.org/abs/2305.18462,"@article{mattern2023membership,
  title={Membership inference attacks against language models via neighbourhood comparison},
  author={Mattern, Justus and Mireshghallah, Fatemehsadat and Jin, Zhijing and Sch{\""o}lkopf, Bernhard and Sachan, Mrinmaya and Berg-Kirkpatrick, Taylor},
  journal={arXiv preprint arXiv:2305.18462},
  year={2023}
}",Justus Mattern et al.,Membership Inference Attacks against Language Models via Neighbourhood Comparison,Memership inference attack agaisnt LLMs by generating neighbours which are perturbed text using a mask model like BERT,Text,Generative-Model,Membership-Inference,Applications,https://github.com/mireshghallah/neighborhood-curvature-mia,,"Hamid Mozaffari, Oracle Labs"
https://arxiv.org/abs/2312.03262,"@inproceedings{zarifzadeh2024low,
  title={Low-Cost High-Power Membership Inference Attacks},
  author={Zarifzadeh, Sajjad and Liu, Philippe and Shokri, Reza},
  booktitle={Forty-first International Conference on Machine Learning},
  year={2024}
}","Sajjad Zarifzadeh, Philippe Liu, Reza Shokri",Low-Cost High-Power Membership Inference Attacks,Efficient MIA with shadow models and auxiliary reference data. Outperfroms LiRA in cases where one has plenty of reference data and almost no reference models,Tabular,Predictive-Model,Membership-Inference,Empirical,https://github.com/privacytrustlab/ml_privacy_meter/tree/d32734161a3395211fe5f3cd461932290b1fafbe/research/2024_rmia,,"Luca Melis, Meta"
https://arxiv.org/abs/2302.12580,"@article{van2023membership,
  title={Membership inference attacks against synthetic data through overfitting detection},
  author={van Breugel, Boris and Sun, Hao and Qian, Zhaozhi and van der Schaar, Mihaela},
  journal={AISTATS},
  year={2023}
}","Boris van Breugel, Hao Sun, Zhaozhi Qian, Mihaela van der Schaar",Membership inference attacks against synthetic data through overfitting detection,"Proposes DOMIAS, a density-based MIA model that aims to infer membership by targeting local overfitting of the generative model assuming the attacker has some knowledge of the underlying data distribution.",Tabular,Generative-Model,Membership-Inference,Empirical,,,"Georgi Ganev, UCL"
https://arxiv.org/abs/2111.09679,"@inproceedings{ye2022enhanced,
  title={Enhanced membership inference attacks against machine learning models},
  author={Ye, Jiayuan and Maddi, Aadyaa and Murakonda, Sasi Kumar and Bindschaedler, Vincent and Shokri, Reza},
  booktitle={Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security},
  pages={3093--3106},
  year={2022}
}","Jiayuan Ye, Aadyaa Maddi, Sasi Kumar Murakonda, Vincent Bindschaedler, Reza Shokri",Enhanced Membership Inference Attacks against Machine Learning Models,Framework for MIA based on approximate LRT. Theory behind general class of attacks + a few instantiations.,Tabular,Predictive-Model,Membership-Inference,Empirical,,,
https://arxiv.org/abs/2208.14933,"@inproceedings{liu2022membership,
  title={Membership inference attacks by exploiting loss trajectory},
  author={Liu, Yiyong and Zhao, Zhengyu and Backes, Michael and Zhang, Yang},
  booktitle={Proceedings of the 2022 ACM SIGSAC Conference on Computer and Communications Security},
  pages={2085--2098},
  year={2022}
}","Yiyong Liu, Zhengyu Zhao, Michael Backes, Yang Zhang",Membership inference attacks by exloiting loss trajectories,Membership inference attack based on knowledge distillation to form signals to attack via loss trajectories over multiple epochs.,Image,Predictive-Model,Membership-Inference,Empirical,https://github.com/DennisLiu2022/Membership-Inference-Attacks-by-Exploiting-Loss-Trajectory,,"Johan Östman, AI Sweden"
https://arxiv.org/abs/2307.03694,"@article{bertran2024scalable,
  title={Scalable membership inference attacks via quantile regression},
  author={Bertran, Martin and Tang, Shuai and Roth, Aaron and Kearns, Michael and Morgenstern, Jamie H and Wu, Steven Z},
  journal={Advances in Neural Information Processing Systems},
  volume={36},
  year={2024}
}","Martin Betram, Shuai Tang, Michael Kearns, Jamie Morgenstern, Aaron Roth, Zhiwei Steven Wu",Scalable Membership Inference Attacks via Quantile Regression,Membership inference attack that does not require shadow models but only to train a single regression model to predict quantiles of the logits.,Image,Predictive-Model,Membership-Inference,Empirical,,,"Johan Östman, AI Sweden"
https://arxiv.org/abs/2007.14321,"@inproceedings{choquette2021label,
  title={Label-only membership inference attacks},
  author={Choquette-Choo, Christopher A and Tramer, Florian and Carlini, Nicholas and Papernot, Nicolas},
  booktitle={International conference on machine learning},
  pages={1964--1974},
  year={2021},
  organization={PMLR}
}","Christopher A. Choquette-Choo, Florian Tramer, Nicholas Carlini. Nicolas Papernot",Label-only membership inference attacks,Black-box membership inference attacl with label-only access. Signals are created by probing the mode with permutations around a given datapoint.,Image,Predictive-Model,Membership-Inference,Empirical,,,"Johan Östman, AI Sweden"
https://openreview.net/pdf?id=7WsivwyHrS,"@inproceedings{wuyou,
  title={You Only Query Once: An Efficient Label-Only Membership Inference Attack},
  author={Wu, Yutong and Qiu, Han and Guo, Shangwei and Li, Jiwei and Zhang, Tianwei},
  booktitle={The Twelfth International Conference on Learning Representations}
}","Yutong Wu, Han Qiu, Shangwei Guo, Jiwei Li, Tianwei Zhang",You only query once: an efficient label-only membership inference attack,Strategies to craft query examples to reduce the required number of queries  ,Image,Predictive-Model,Membership-Inference,Empirical,https://github.com/WU-YU-TONG/YOQO,,"Johan Östman, AI Sweden"
https://openreview.net/forum?id=fwzUgo0FM9v,"@article{fowl2021robbing,
  title={Robbing the fed: Directly obtaining private data in federated learning with modified models},
  author={Fowl, Liam and Geiping, Jonas and Czaja, Wojtek and Goldblum, Micah and Goldstein, Tom},
  journal={arXiv preprint arXiv:2110.13057},
  year={2021}
}","L Fowl, J Geiping, W Czaja, M Goldblum, T Goldstein",Robbing the Fed: Directly Obtaining Private Data in Federated Learning with Modified Models,Malicious adversary to perform exact reconstruction of the training data in FL,Image,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Dmitrii Usynin, TUM/Imperial College London"
https://arxiv.org/abs/2201.12675,"@article{fowl2022decepticons,
  title={Decepticons: Corrupted transformers breach privacy in federated learning for language models},
  author={Fowl, Liam and Geiping, Jonas and Reich, Steven and Wen, Yuxin and Czaja, Wojtek and Goldblum, Micah and Goldstein, Tom},
  journal={arXiv preprint arXiv:2201.12675},
  year={2022}
}","Liam Fowl, Jonas Geiping, Steven Reich, Yuxin Wen, Wojtek Czaja, Micah Goldblum, Tom Goldstein",Decepticons: Corrupted Transformers Breach Privacy in Federated Learning for Language Models,Model inversion attacks using a malicious attacker in transformer-based FL settings,Text,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Dmitrii Usynin, TUM/Imperial College London"
https://arxiv.org/abs/2202.00580,"@article{wen2022fishing,
  title={Fishing for user data in large-batch federated learning via gradient magnification},
  author={Wen, Yuxin and Geiping, Jonas and Fowl, Liam and Goldblum, Micah and Goldstein, Tom},
  journal={arXiv preprint arXiv:2202.00580},
  year={2022}
}","Yuxin Wen, Jonas Geiping, Liam Fowl, Micah Goldblum, Tom Goldstein",Fishing for User Data in Large-Batch Federated Learning via Gradient Magnification,"Malicious adversary to perform exact reconstruction of the training data in FL, this time with (almost) arbitrarily large batch sizes",Image,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Dmitrii Usynin, TUM/Imperial College London"
https://arxiv.org/abs/2112.02918,"@inproceedings{boenisch2023curious,
  title={When the curious abandon honesty: Federated learning is not private},
  author={Boenisch, Franziska and Dziedzic, Adam and Schuster, Roei and Shamsabadi, Ali Shahin and Shumailov, Ilia and Papernot, Nicolas},
  booktitle={2023 IEEE 8th European Symposium on Security and Privacy (EuroS\&P)},
  pages={175--199},
  year={2023},
  organization={IEEE}
}","Franziska Boenisch, Adam Dziedzic, Roei Schuster, Ali Shahin Shamsabadi, Ilia Shumailov, Nicolas Papernot",When the Curious Abandon Honesty: Federated Learning Is Not Private,Malicious FL input reconstruction using trap weights (model modification),Image,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Dmitrii Usynin, TUM/Imperial College London"
https://openaccess.thecvf.com/content/CVPR2021/html/Yin_See_Through_Gradients_Image_Batch_Recovery_via_GradInversion_CVPR_2021_paper.html,"@inproceedings{yin2021see,
  title={See through gradients: Image batch recovery via gradinversion},
  author={Yin, Hongxu and Mallya, Arun and Vahdat, Arash and Alvarez, Jose M and Kautz, Jan and Molchanov, Pavlo},
  booktitle={Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition},
  pages={16337--16346},
  year={2021}
}","Hongxu Yin, Arun Mallya, Arash Vahdat, Jose M. Alvarez, Jan Kautz, Pavlo Molchanov",See Through Gradients: Image Batch Recovery via GradInversion,First demonstration of large batch-size model inversion in FL,Image,Predictive-Model,Reconstruction,Empirical,https://github.com/JonasGeiping/breaching ,,"Dmitrii Usynin, TUM/Imperial College London"
https://proceedings.mlr.press/v202/kariyappa23a/kariyappa23a.pdf,"@inproceedings{kariyappa2023cocktail,
  title={Cocktail party attack: Breaking aggregation-based privacy in federated learning using independent component analysis},
  author={Kariyappa, Sanjay and Guo, Chuan and Maeng, Kiwan and Xiong, Wenjie and Suh, G Edward and Qureshi, Moinuddin K and Lee, Hsien-Hsin S},
  booktitle={International Conference on Machine Learning},
  pages={15884--15899},
  year={2023},
  organization={PMLR}
}","Sanjay Kariyappa, Chuan Guo, Kiwan Maeng, Wenjie Xiong, G. Edward Suh, Moinuddin K Qureshi, Hsien-Hsin S. Lee",Cocktail Party Attack: Breaking Aggregation-Based Privacy in Federated Learning Using Independent Component Analysis,Theoretical attempts to present (and attack) secure aggregation in FL,Image,Predictive-Model,Reconstruction,Theoretical,,,"Dmitrii Usynin, TUM/Imperial College London"
https://dl.acm.org/doi/abs/10.1145/3592800,"@article{usynin2023beyond,
  title={Beyond gradients: Exploiting adversarial priors in model inversion attacks},
  author={Usynin, Dmitrii and Rueckert, Daniel and Kaissis, Georgios},
  journal={ACM Transactions on Privacy and Security},
  volume={26},
  number={3},
  pages={1--30},
  year={2023},
  publisher={ACM New York, NY}
}","Dmitrii Usynin, Daniel Rueckert, Georgios Kaissis",Beyond Gradients: Exploiting Adversarial Priors in Model Inversion Attacks,More successful model inversion using HbC adversary with the knowledge of context and style of the training data,Image,Predictive-Model,Reconstruction,Empirical,,,"Dmitrii Usynin, TUM/Imperial College London"
https://arxiv.org/abs/2404.02936,"@article{zhang2024min,
  title={Min-K\%++: Improved Baseline for Detecting Pre-Training Data from Large Language Models},
  author={Zhang, Jingyang and Sun, Jingwei and Yeats, Eric and Ouyang, Yang and Kuo, Martin and Zhang, Jianyi and Yang, Hao and Li, Hai},
  journal={arXiv preprint arXiv:2404.02936},
  year={2024}
}",Jingyang Zhang et al. ,Min-K%++: Improved Baseline for Detecting Pre-Training Data from Large Language Models,Impvroved the Min-K attack by normalizing the log prob of tokens ,Text,Generative-Model,Membership-Inference,Applications,https://zjysteven.github.io/mink-plus-plus/,,"Hamid Mozaffari, Oracle Labs"
